GN_ID,Gene_Name,log2FC(insoluble/soluble protein ratio), -LOG10(P-VALUE),Protein_ID
Igh-3_sp|P01867|IGG2B_MOUSE,Igh-3,-0.781411828280665,1.31234229585834,P01867
Csrp2_sp|P97314|CSRP2_MOUSE,Csrp2,-0.781535892220194,1.43998053292425,P97314
Tpm3_sp|P21107-2|TPM3_MOUSE,Tpm3,-0.786731252653863,1.32810599470073,P21107-2
Tmem63b_sp|Q3TWI9|CSCL2_MOUSE,Tmem63b,-0.796291003374365,1.57576568362574,Q3TWI9
Kif5c_sp|P28738|KIF5C_MOUSE,Kif5c,-0.803735806460739,2.68305777248007,P28738
Itpr1_sp|P11881|ITPR1_MOUSE,Itpr1,-0.804673776408794,1.56756454355859,P11881
Cep170_sp|Q6A065|CE170_MOUSE,Cep170,-0.806855224385752,1.64621063253989,Q6A065
Tceal5_sp|Q8CCT4|TCAL5_MOUSE,Tceal5,-0.81114298509522,1.69955854693761,Q8CCT4
Tpm3_sp|P21107|TPM3_MOUSE,Tpm3,-0.811170869494275,1.31955325407476,P21107
Prpsap2_sp|Q8R574|KPRB_MOUSE,Prpsap2,-0.815883203426454,3.43368790365453,Q8R574
Cirbp_sp|P60824|CIRBP_MOUSE,Cirbp,-0.817578199732333,1.8632440961463,P60824
Mfge8_sp|P21956|MFGM_MOUSE,Mfge8,-0.818553810175503,2.35458654941927,P21956
Cisd2_sp|Q9CQB5|CISD2_MOUSE,Cisd2,-0.821882783507634,1.68644523547265,Q9CQB5
Tmem143_sp|Q8VD26|TM143_MOUSE,Tmem143,-0.824123203175561,1.45133783872154,Q8VD26
Tap2_sp|P36371|TAP2_MOUSE,Tap2,-0.831960222923247,1.39501311195369,P36371
Tpm1_tr|F8WID5|F8WID5_MOUSE,Tpm1,-0.835739424174016,1.32065394296872,F8WID5
Rnmt_sp|Q9D0L8|MCES_MOUSE,Rnmt,-0.837754600202879,1.36307835656268,Q9D0L8
Igkv5-39_tr|A0A075B5M7|A0A075B5M7_MOUSE,Igkv5-39,-0.837969973855938,1.30909262812379,A0A075B5M7
Prps1l1_tr|Q8C5R8|Q8C5R8_MOUSE,Prps1l1,-0.83884480269152,2.73990284575957,Q8C5R8
Tpm2_sp|P58774|TPM2_MOUSE,Tpm2,-0.84433668996995,1.707698049288,P58774
Car4_tr|F6ST32|F6ST32_MOUSE,Car4,-0.850562322135645,1.32120696363942,F6ST32
Tpm2_sp|P58774-2|TPM2_MOUSE,Tpm2,-0.851049638422114,1.64039153116534,P58774-2
Igj_sp|P01592|IGJ_MOUSE,Igj,-0.866533674065561,1.94556680772694,P01592
Camk2d_tr|F7A856|F7A856_MOUSE,Camk2d,-0.875954477960595,2.05477546774667,F7A856
Ighg2b_tr|A0A075B5P3|A0A075B5P3_MOUSE,Ighg2b,-0.878507759346075,1.9527697374049,A0A075B5P3
Tmem63b_sp|Q3TWI9|CSCL2_MOUSE,Tmem63b,-0.879737700853012,1.82433258262956,Q3TWI9
Ighg_sp|P01863|GCAA_MOUSE,Ighg,-0.885112944120508,1.32907396003633,P01863
Prps1l1_tr|Q8C5R8|Q8C5R8_MOUSE,Prps1l1,-0.886216473471741,2.83205465944088,Q8C5R8
